Label (Grouping),"Santa Clara County, California!!Total!!Estimate",demographic,count
    18 to 24 years,8.9%,"Dallas County, Texas!!Male!!Estimate",10.3%
    15 to 44 years,43.5%,"Dallas County, Texas!!Male!!Estimate",46.0%
    16 years and over,78.4%,"Dallas County, Texas!!Male!!Estimate",74.5%
    18 years and over,75.9%,"Dallas County, Texas!!Male!!Estimate",71.5%
    60 years and over,15.9%,"Dallas County, Texas!!Male!!Estimate",11.5%
    62 years and over,13.8%,"Dallas County, Texas!!Male!!Estimate",9.6%
    65 years and over,11.1%,"Dallas County, Texas!!Male!!Estimate",7.4%
    75 years and over,5.1%,"Dallas County, Texas!!Male!!Estimate",2.9%
SUMMARY INDICATORS,,"Dallas County, Texas!!Male!!Estimate",
    Median age (years),36.2,"Dallas County, Texas!!Male!!Estimate",31.4
    Sex ratio (males per 100 females),100.6,"Dallas County, Texas!!Male!!Estimate",(X)
    Age dependency ratio,54.2,"Dallas County, Texas!!Male!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Dallas County, Texas!!Male!!Estimate",(X)
        Child dependency ratio,37.2,"Dallas County, Texas!!Male!!Estimate",(X)
PERCENT IMPUTED,,"Dallas County, Texas!!Male!!Estimate",
    Sex,0.2%,"Dallas County, Texas!!Male!!Estimate",(X)
    Age,1.6%,"Dallas County, Texas!!Male!!Estimate",(X)
Total population,"1,787,694","Dallas County, Texas!!Male!!Margin of Error",±349
AGE,,"Dallas County, Texas!!Male!!Margin of Error",
    Under 5 years,7.0%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Dallas County, Texas!!Male!!Margin of Error",±0.3
    10 to 14 years,6.5%,"Dallas County, Texas!!Male!!Margin of Error",±0.3
    15 to 19 years,6.4%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Dallas County, Texas!!Male!!Margin of Error",±0.3
    40 to 44 years,7.8%,"Dallas County, Texas!!Male!!Margin of Error",±0.3
    45 to 49 years,7.7%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Dallas County, Texas!!Male!!Margin of Error",±0.2
    60 to 64 years,4.9%,"Dallas County, Texas!!Male!!Margin of Error",±0.2
    65 to 69 years,3.5%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    70 to 74 years,2.5%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    75 to 79 years,1.9%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    80 to 84 years,1.6%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    85 years and over,1.6%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
SELECTED AGE CATEGORIES,,"Dallas County, Texas!!Male!!Margin of Error",
    5 to 14 years,13.2%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    16 years and over,78.4%,"Dallas County, Texas!!Male!!Margin of Error",±0.2
    18 years and over,75.9%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    60 years and over,15.9%,"Dallas County, Texas!!Male!!Margin of Error",±0.2
    62 years and over,13.8%,"Dallas County, Texas!!Male!!Margin of Error",±0.2
    65 years and over,11.1%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
    75 years and over,5.1%,"Dallas County, Texas!!Male!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Dallas County, Texas!!Male!!Margin of Error",
    Median age (years),36.2,"Dallas County, Texas!!Male!!Margin of Error",±0.2
    Sex ratio (males per 100 females),100.6,"Dallas County, Texas!!Male!!Margin of Error",(X)
    Age dependency ratio,54.2,"Dallas County, Texas!!Male!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Dallas County, Texas!!Male!!Margin of Error",(X)
        Child dependency ratio,37.2,"Dallas County, Texas!!Male!!Margin of Error",(X)
PERCENT IMPUTED,,"Dallas County, Texas!!Male!!Margin of Error",
    Sex,0.2%,"Dallas County, Texas!!Male!!Margin of Error",(X)
    Age,1.6%,"Dallas County, Texas!!Male!!Margin of Error",(X)
Total population,"1,787,694","Dallas County, Texas!!Female!!Estimate","1,201,269"
AGE,,"Dallas County, Texas!!Female!!Estimate",
    Under 5 years,7.0%,"Dallas County, Texas!!Female!!Estimate",7.8%
    5 to 9 years,6.8%,"Dallas County, Texas!!Female!!Estimate",7.3%
    10 to 14 years,6.5%,"Dallas County, Texas!!Female!!Estimate",7.3%
    15 to 19 years,6.4%,"Dallas County, Texas!!Female!!Estimate",6.8%
    20 to 24 years,6.4%,"Dallas County, Texas!!Female!!Estimate",7.1%
    25 to 29 years,7.4%,"Dallas County, Texas!!Female!!Estimate",8.2%
    30 to 34 years,7.6%,"Dallas County, Texas!!Female!!Estimate",7.8%
    35 to 39 years,7.8%,"Dallas County, Texas!!Female!!Estimate",7.1%
    40 to 44 years,7.8%,"Dallas County, Texas!!Female!!Estimate",7.1%
    45 to 49 years,7.7%,"Dallas County, Texas!!Female!!Estimate",6.9%
    50 to 54 years,7.1%,"Dallas County, Texas!!Female!!Estimate",6.5%
    55 to 59 years,5.6%,"Dallas County, Texas!!Female!!Estimate",5.3%
    60 to 64 years,4.9%,"Dallas County, Texas!!Female!!Estimate",4.6%
    65 to 69 years,3.5%,"Dallas County, Texas!!Female!!Estimate",3.1%
    70 to 74 years,2.5%,"Dallas County, Texas!!Female!!Estimate",2.2%
    75 to 79 years,1.9%,"Dallas County, Texas!!Female!!Estimate",1.8%
    80 to 84 years,1.6%,"Dallas County, Texas!!Female!!Estimate",1.5%
    85 years and over,1.6%,"Dallas County, Texas!!Female!!Estimate",1.5%
SELECTED AGE CATEGORIES,,"Dallas County, Texas!!Female!!Estimate",
    5 to 14 years,13.2%,"Dallas County, Texas!!Female!!Estimate",14.6%
    15 to 17 years,3.9%,"Dallas County, Texas!!Female!!Estimate",4.2%
    18 to 24 years,8.9%,"Dallas County, Texas!!Female!!Estimate",9.7%
    15 to 44 years,43.5%,"Dallas County, Texas!!Female!!Estimate",44.2%
    16 years and over,78.4%,"Dallas County, Texas!!Female!!Estimate",76.0%
    18 years and over,75.9%,"Dallas County, Texas!!Female!!Estimate",73.3%
    60 years and over,15.9%,"Dallas County, Texas!!Female!!Estimate",14.7%
    62 years and over,13.8%,"Dallas County, Texas!!Female!!Estimate",12.8%
    65 years and over,11.1%,"Dallas County, Texas!!Female!!Estimate",10.1%
    75 years and over,5.1%,"Dallas County, Texas!!Female!!Estimate",4.8%
SUMMARY INDICATORS,,"Dallas County, Texas!!Female!!Estimate",
    Median age (years),36.2,"Dallas County, Texas!!Female!!Estimate",33.4
    Sex ratio (males per 100 females),100.6,"Dallas County, Texas!!Female!!Estimate",(X)
    Age dependency ratio,54.2,"Dallas County, Texas!!Female!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Dallas County, Texas!!Female!!Estimate",(X)
        Child dependency ratio,37.2,"Dallas County, Texas!!Female!!Estimate",(X)
PERCENT IMPUTED,,"Dallas County, Texas!!Female!!Estimate",
    Sex,0.2%,"Dallas County, Texas!!Female!!Estimate",(X)
    Age,1.6%,"Dallas County, Texas!!Female!!Estimate",(X)
Total population,"1,787,694","Dallas County, Texas!!Female!!Margin of Error",±349
AGE,,"Dallas County, Texas!!Female!!Margin of Error",
    Under 5 years,7.0%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Dallas County, Texas!!Female!!Margin of Error",±0.3
    10 to 14 years,6.5%,"Dallas County, Texas!!Female!!Margin of Error",±0.3
    15 to 19 years,6.4%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Dallas County, Texas!!Female!!Margin of Error",±0.3
    40 to 44 years,7.8%,"Dallas County, Texas!!Female!!Margin of Error",±0.3
    45 to 49 years,7.7%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Dallas County, Texas!!Female!!Margin of Error",±0.3
    60 to 64 years,4.9%,"Dallas County, Texas!!Female!!Margin of Error",±0.3
    65 to 69 years,3.5%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    70 to 74 years,2.5%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    75 to 79 years,1.9%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    80 to 84 years,1.6%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    85 years and over,1.6%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
SELECTED AGE CATEGORIES,,"Dallas County, Texas!!Female!!Margin of Error",
    5 to 14 years,13.2%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    16 years and over,78.4%,"Dallas County, Texas!!Female!!Margin of Error",±0.2
    18 years and over,75.9%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    60 years and over,15.9%,"Dallas County, Texas!!Female!!Margin of Error",±0.3
    62 years and over,13.8%,"Dallas County, Texas!!Female!!Margin of Error",±0.2
    65 years and over,11.1%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    75 years and over,5.1%,"Dallas County, Texas!!Female!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Dallas County, Texas!!Female!!Margin of Error",
    Median age (years),36.2,"Dallas County, Texas!!Female!!Margin of Error",±0.1
    Sex ratio (males per 100 females),100.6,"Dallas County, Texas!!Female!!Margin of Error",(X)
    Age dependency ratio,54.2,"Dallas County, Texas!!Female!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Dallas County, Texas!!Female!!Margin of Error",(X)
        Child dependency ratio,37.2,"Dallas County, Texas!!Female!!Margin of Error",(X)
PERCENT IMPUTED,,"Dallas County, Texas!!Female!!Margin of Error",
    Sex,0.2%,"Dallas County, Texas!!Female!!Margin of Error",(X)
    Age,1.6%,"Dallas County, Texas!!Female!!Margin of Error",(X)
Total population,"1,787,694","Fairfax County, Virginia!!Total!!Estimate","1,086,743"
AGE,,"Fairfax County, Virginia!!Total!!Estimate",
    Under 5 years,7.0%,"Fairfax County, Virginia!!Total!!Estimate",6.7%
    5 to 9 years,6.8%,"Fairfax County, Virginia!!Total!!Estimate",6.8%
    10 to 14 years,6.5%,"Fairfax County, Virginia!!Total!!Estimate",6.6%
    15 to 19 years,6.4%,"Fairfax County, Virginia!!Total!!Estimate",6.2%
    20 to 24 years,6.4%,"Fairfax County, Virginia!!Total!!Estimate",5.6%
    25 to 29 years,7.4%,"Fairfax County, Virginia!!Total!!Estimate",7.4%
    30 to 34 years,7.6%,"Fairfax County, Virginia!!Total!!Estimate",7.3%
    35 to 39 years,7.8%,"Fairfax County, Virginia!!Total!!Estimate",7.4%
    40 to 44 years,7.8%,"Fairfax County, Virginia!!Total!!Estimate",7.8%
    45 to 49 years,7.7%,"Fairfax County, Virginia!!Total!!Estimate",8.2%
    50 to 54 years,7.1%,"Fairfax County, Virginia!!Total!!Estimate",7.9%
    55 to 59 years,5.6%,"Fairfax County, Virginia!!Total!!Estimate",6.5%
    60 to 64 years,4.9%,"Fairfax County, Virginia!!Total!!Estimate",5.7%
    65 to 69 years,3.5%,"Fairfax County, Virginia!!Total!!Estimate",3.5%
    70 to 74 years,2.5%,"Fairfax County, Virginia!!Total!!Estimate",2.3%
    75 to 79 years,1.9%,"Fairfax County, Virginia!!Total!!Estimate",1.7%
    80 to 84 years,1.6%,"Fairfax County, Virginia!!Total!!Estimate",1.2%
    85 years and over,1.6%,"Fairfax County, Virginia!!Total!!Estimate",1.2%
SELECTED AGE CATEGORIES,,"Fairfax County, Virginia!!Total!!Estimate",
    5 to 14 years,13.2%,"Fairfax County, Virginia!!Total!!Estimate",13.4%
    15 to 17 years,3.9%,"Fairfax County, Virginia!!Total!!Estimate",4.1%
    18 to 24 years,8.9%,"Fairfax County, Virginia!!Total!!Estimate",7.6%
    15 to 44 years,43.5%,"Fairfax County, Virginia!!Total!!Estimate",41.6%
    16 years and over,78.4%,"Fairfax County, Virginia!!Total!!Estimate",78.5%
    18 years and over,75.9%,"Fairfax County, Virginia!!Total!!Estimate",75.8%
    60 years and over,15.9%,"Fairfax County, Virginia!!Total!!Estimate",15.6%
    62 years and over,13.8%,"Fairfax County, Virginia!!Total!!Estimate",13.0%
    65 years and over,11.1%,"Fairfax County, Virginia!!Total!!Estimate",9.9%
    75 years and over,5.1%,"Fairfax County, Virginia!!Total!!Estimate",4.0%
SUMMARY INDICATORS,,"Fairfax County, Virginia!!Total!!Estimate",
    Median age (years),36.2,"Fairfax County, Virginia!!Total!!Estimate",37.5
    Sex ratio (males per 100 females),100.6,"Fairfax County, Virginia!!Total!!Estimate",97.6
    Age dependency ratio,54.2,"Fairfax County, Virginia!!Total!!Estimate",51.8
        Old-Age dependency ratio,17.1,"Fairfax County, Virginia!!Total!!Estimate",15.0
        Child dependency ratio,37.2,"Fairfax County, Virginia!!Total!!Estimate",36.8
PERCENT IMPUTED,,"Fairfax County, Virginia!!Total!!Estimate",
    Sex,0.2%,"Fairfax County, Virginia!!Total!!Estimate",0.2%
    Age,1.6%,"Fairfax County, Virginia!!Total!!Estimate",1.6%
Total population,"1,787,694","Fairfax County, Virginia!!Total!!Margin of Error",*****
AGE,,"Fairfax County, Virginia!!Total!!Margin of Error",
    Under 5 years,7.0%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.3
    10 to 14 years,6.5%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.3
    15 to 19 years,6.4%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.3
    40 to 44 years,7.8%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.3
    45 to 49 years,7.7%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.3
    60 to 64 years,4.9%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.3
    65 to 69 years,3.5%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.2
    70 to 74 years,2.5%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.2
    75 to 79 years,1.9%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    80 to 84 years,1.6%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    85 years and over,1.6%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
SELECTED AGE CATEGORIES,,"Fairfax County, Virginia!!Total!!Margin of Error",
    5 to 14 years,13.2%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    16 years and over,78.4%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    18 years and over,75.9%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    60 years and over,15.9%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.3
    62 years and over,13.8%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.2
    65 years and over,11.1%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    75 years and over,5.1%,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Fairfax County, Virginia!!Total!!Margin of Error",
    Median age (years),36.2,"Fairfax County, Virginia!!Total!!Margin of Error",±0.2
    Sex ratio (males per 100 females),100.6,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
    Age dependency ratio,54.2,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
        Old-Age dependency ratio,17.1,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
        Child dependency ratio,37.2,"Fairfax County, Virginia!!Total!!Margin of Error",±0.1
PERCENT IMPUTED,,"Fairfax County, Virginia!!Total!!Margin of Error",
    Sex,0.2%,"Fairfax County, Virginia!!Total!!Margin of Error",(X)
    Age,1.6%,"Fairfax County, Virginia!!Total!!Margin of Error",(X)
Total population,"1,787,694","Fairfax County, Virginia!!Male!!Estimate","536,795"
AGE,,"Fairfax County, Virginia!!Male!!Estimate",
    Under 5 years,7.0%,"Fairfax County, Virginia!!Male!!Estimate",7.0%
    5 to 9 years,6.8%,"Fairfax County, Virginia!!Male!!Estimate",7.1%
    10 to 14 years,6.5%,"Fairfax County, Virginia!!Male!!Estimate",6.8%
    15 to 19 years,6.4%,"Fairfax County, Virginia!!Male!!Estimate",6.5%
    20 to 24 years,6.4%,"Fairfax County, Virginia!!Male!!Estimate",5.8%
    25 to 29 years,7.4%,"Fairfax County, Virginia!!Male!!Estimate",7.5%
    30 to 34 years,7.6%,"Fairfax County, Virginia!!Male!!Estimate",7.4%
    35 to 39 years,7.8%,"Fairfax County, Virginia!!Male!!Estimate",7.0%
    40 to 44 years,7.8%,"Fairfax County, Virginia!!Male!!Estimate",8.1%
    45 to 49 years,7.7%,"Fairfax County, Virginia!!Male!!Estimate",8.1%
    50 to 54 years,7.1%,"Fairfax County, Virginia!!Male!!Estimate",7.7%
    55 to 59 years,5.6%,"Fairfax County, Virginia!!Male!!Estimate",6.4%
    60 to 64 years,4.9%,"Fairfax County, Virginia!!Male!!Estimate",5.6%
    65 to 69 years,3.5%,"Fairfax County, Virginia!!Male!!Estimate",3.6%
    70 to 74 years,2.5%,"Fairfax County, Virginia!!Male!!Estimate",2.2%
    75 to 79 years,1.9%,"Fairfax County, Virginia!!Male!!Estimate",1.4%
    80 to 84 years,1.6%,"Fairfax County, Virginia!!Male!!Estimate",1.0%
    85 years and over,1.6%,"Fairfax County, Virginia!!Male!!Estimate",0.9%
SELECTED AGE CATEGORIES,,"Fairfax County, Virginia!!Male!!Estimate",
    5 to 14 years,13.2%,"Fairfax County, Virginia!!Male!!Estimate",13.9%
    15 to 17 years,3.9%,"Fairfax County, Virginia!!Male!!Estimate",4.3%
    18 to 24 years,8.9%,"Fairfax County, Virginia!!Male!!Estimate",8.0%
    15 to 44 years,43.5%,"Fairfax County, Virginia!!Male!!Estimate",42.3%
    16 years and over,78.4%,"Fairfax County, Virginia!!Male!!Estimate",77.9%
    18 years and over,75.9%,"Fairfax County, Virginia!!Male!!Estimate",74.8%
    60 years and over,15.9%,"Fairfax County, Virginia!!Male!!Estimate",14.6%
    62 years and over,13.8%,"Fairfax County, Virginia!!Male!!Estimate",12.2%
    65 years and over,11.1%,"Fairfax County, Virginia!!Male!!Estimate",9.1%
    75 years and over,5.1%,"Fairfax County, Virginia!!Male!!Estimate",3.3%
SUMMARY INDICATORS,,"Fairfax County, Virginia!!Male!!Estimate",
    Median age (years),36.2,"Fairfax County, Virginia!!Male!!Estimate",36.6
    Sex ratio (males per 100 females),100.6,"Fairfax County, Virginia!!Male!!Estimate",(X)
    Age dependency ratio,54.2,"Fairfax County, Virginia!!Male!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Fairfax County, Virginia!!Male!!Estimate",(X)
        Child dependency ratio,37.2,"Fairfax County, Virginia!!Male!!Estimate",(X)
PERCENT IMPUTED,,"Fairfax County, Virginia!!Male!!Estimate",
    Sex,0.2%,"Fairfax County, Virginia!!Male!!Estimate",(X)
    Age,1.6%,"Fairfax County, Virginia!!Male!!Estimate",(X)
Total population,"1,787,694","Fairfax County, Virginia!!Male!!Margin of Error",±311
AGE,,"Fairfax County, Virginia!!Male!!Margin of Error",
    Under 5 years,7.0%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.4
    10 to 14 years,6.5%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.4
    15 to 19 years,6.4%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.5
    40 to 44 years,7.8%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.5
    45 to 49 years,7.7%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.4
    60 to 64 years,4.9%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.4
    65 to 69 years,3.5%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.3
    70 to 74 years,2.5%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.3
    75 to 79 years,1.9%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.2
    80 to 84 years,1.6%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    85 years and over,1.6%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.2
SELECTED AGE CATEGORIES,,"Fairfax County, Virginia!!Male!!Margin of Error",
    5 to 14 years,13.2%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    16 years and over,78.4%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.2
    18 years and over,75.9%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    60 years and over,15.9%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.4
    62 years and over,13.8%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.3
    65 years and over,11.1%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
    75 years and over,5.1%,"Fairfax County, Virginia!!Male!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Fairfax County, Virginia!!Male!!Margin of Error",
    Median age (years),36.2,"Fairfax County, Virginia!!Male!!Margin of Error",±0.3
    Sex ratio (males per 100 females),100.6,"Fairfax County, Virginia!!Male!!Margin of Error",(X)
    Age dependency ratio,54.2,"Fairfax County, Virginia!!Male!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Fairfax County, Virginia!!Male!!Margin of Error",(X)
        Child dependency ratio,37.2,"Fairfax County, Virginia!!Male!!Margin of Error",(X)
PERCENT IMPUTED,,"Fairfax County, Virginia!!Male!!Margin of Error",
    Sex,0.2%,"Fairfax County, Virginia!!Male!!Margin of Error",(X)
    Age,1.6%,"Fairfax County, Virginia!!Male!!Margin of Error",(X)
Total population,"1,787,694","Fairfax County, Virginia!!Female!!Estimate","549,948"
AGE,,"Fairfax County, Virginia!!Female!!Estimate",
    Under 5 years,7.0%,"Fairfax County, Virginia!!Female!!Estimate",6.5%
    5 to 9 years,6.8%,"Fairfax County, Virginia!!Female!!Estimate",6.5%
    10 to 14 years,6.5%,"Fairfax County, Virginia!!Female!!Estimate",6.4%
    15 to 19 years,6.4%,"Fairfax County, Virginia!!Female!!Estimate",5.8%
    20 to 24 years,6.4%,"Fairfax County, Virginia!!Female!!Estimate",5.3%
    25 to 29 years,7.4%,"Fairfax County, Virginia!!Female!!Estimate",7.3%
    30 to 34 years,7.6%,"Fairfax County, Virginia!!Female!!Estimate",7.3%
    35 to 39 years,7.8%,"Fairfax County, Virginia!!Female!!Estimate",7.7%
    40 to 44 years,7.8%,"Fairfax County, Virginia!!Female!!Estimate",7.6%
    45 to 49 years,7.7%,"Fairfax County, Virginia!!Female!!Estimate",8.3%
    50 to 54 years,7.1%,"Fairfax County, Virginia!!Female!!Estimate",8.0%
    55 to 59 years,5.6%,"Fairfax County, Virginia!!Female!!Estimate",6.7%
    60 to 64 years,4.9%,"Fairfax County, Virginia!!Female!!Estimate",5.8%
    65 to 69 years,3.5%,"Fairfax County, Virginia!!Female!!Estimate",3.5%
    70 to 74 years,2.5%,"Fairfax County, Virginia!!Female!!Estimate",2.5%
    75 to 79 years,1.9%,"Fairfax County, Virginia!!Female!!Estimate",1.9%
    80 to 84 years,1.6%,"Fairfax County, Virginia!!Female!!Estimate",1.4%
    85 years and over,1.6%,"Fairfax County, Virginia!!Female!!Estimate",1.4%
SELECTED AGE CATEGORIES,,"Fairfax County, Virginia!!Female!!Estimate",
    5 to 14 years,13.2%,"Fairfax County, Virginia!!Female!!Estimate",12.9%
    15 to 17 years,3.9%,"Fairfax County, Virginia!!Female!!Estimate",3.9%
    18 to 24 years,8.9%,"Fairfax County, Virginia!!Female!!Estimate",7.3%
    15 to 44 years,43.5%,"Fairfax County, Virginia!!Female!!Estimate",41.0%
    16 years and over,78.4%,"Fairfax County, Virginia!!Female!!Estimate",79.2%
    18 years and over,75.9%,"Fairfax County, Virginia!!Female!!Estimate",76.7%
    60 years and over,15.9%,"Fairfax County, Virginia!!Female!!Estimate",16.5%
    62 years and over,13.8%,"Fairfax County, Virginia!!Female!!Estimate",13.8%
    65 years and over,11.1%,"Fairfax County, Virginia!!Female!!Estimate",10.7%
    75 years and over,5.1%,"Fairfax County, Virginia!!Female!!Estimate",4.7%
SUMMARY INDICATORS,,"Fairfax County, Virginia!!Female!!Estimate",
    Median age (years),36.2,"Fairfax County, Virginia!!Female!!Estimate",38.3
    Sex ratio (males per 100 females),100.6,"Fairfax County, Virginia!!Female!!Estimate",(X)
    Age dependency ratio,54.2,"Fairfax County, Virginia!!Female!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Fairfax County, Virginia!!Female!!Estimate",(X)
        Child dependency ratio,37.2,"Fairfax County, Virginia!!Female!!Estimate",(X)
PERCENT IMPUTED,,"Fairfax County, Virginia!!Female!!Estimate",
    Sex,0.2%,"Fairfax County, Virginia!!Female!!Estimate",(X)
    Age,1.6%,"Fairfax County, Virginia!!Female!!Estimate",(X)
Total population,"1,787,694","Fairfax County, Virginia!!Female!!Margin of Error",±311
AGE,,"Fairfax County, Virginia!!Female!!Margin of Error",
    Under 5 years,7.0%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.4
    10 to 14 years,6.5%,"Fairfax County, Virginia!!Female!!Margin of Error",±0.4
