Label (Grouping),"Santa Clara County, California!!Estimate",characteristic,value
    Moved in 1990 to 1999,"101,476","Loudoun County, Virginia!!Estimate","15,679"
    Moved in 1980 to 1989,"50,775","Loudoun County, Virginia!!Estimate","4,286"
    Moved in 1970 to 1979,"35,403","Loudoun County, Virginia!!Estimate","1,553"
    Moved in 1969 or earlier,"27,564","Loudoun County, Virginia!!Estimate",690
VEHICLES AVAILABLE,,"Loudoun County, Virginia!!Estimate",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Estimate","102,979"
    No vehicles available,"31,267","Loudoun County, Virginia!!Estimate","2,944"
    1 vehicle available,"168,953","Loudoun County, Virginia!!Estimate","21,776"
    2 vehicles available,"249,590","Loudoun County, Virginia!!Estimate","50,520"
    3 or more vehicles available,"149,425","Loudoun County, Virginia!!Estimate","27,739"
HOUSE HEATING FUEL,,"Loudoun County, Virginia!!Estimate",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Estimate","102,979"
    Utility gas,"401,603","Loudoun County, Virginia!!Estimate","63,069"
"    Bottled, tank, or LP gas","8,862","Loudoun County, Virginia!!Estimate","5,739"
    Electricity,"178,541","Loudoun County, Virginia!!Estimate","28,775"
"    Fuel oil, kerosene, etc.",462,"Loudoun County, Virginia!!Estimate","3,816"
    Coal or coke,0,"Loudoun County, Virginia!!Estimate",0
    Wood,"1,887","Loudoun County, Virginia!!Estimate","1,070"
    Solar energy,850,"Loudoun County, Virginia!!Estimate",61
    Other fuel,"1,238","Loudoun County, Virginia!!Estimate",223
    No fuel used,"5,792","Loudoun County, Virginia!!Estimate",226
SELECTED CHARACTERISTICS,,"Loudoun County, Virginia!!Estimate",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Estimate","102,979"
    Lacking complete plumbing facilities,"3,645","Loudoun County, Virginia!!Estimate",548
    Lacking complete kitchen facilities,"6,765","Loudoun County, Virginia!!Estimate",757
    No telephone service available,"10,027","Loudoun County, Virginia!!Estimate",894
OCCUPANTS PER ROOM,,"Loudoun County, Virginia!!Estimate",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Estimate","102,979"
    1.00 or less,"551,916","Loudoun County, Virginia!!Estimate","101,545"
    1.01 to 1.50,"32,292","Loudoun County, Virginia!!Estimate","1,265"
    1.51 or more,"15,027","Loudoun County, Virginia!!Estimate",169
VALUE,,"Loudoun County, Virginia!!Estimate",
    Owner-occupied units,"342,955","Loudoun County, Virginia!!Estimate","80,627"
"    Less than $50,000","7,522","Loudoun County, Virginia!!Estimate","1,071"
"    $50,000 to $99,999","9,155","Loudoun County, Virginia!!Estimate",906
"    $100,000 to $149,999","4,362","Loudoun County, Virginia!!Estimate","2,096"
"    $150,000 to $199,999","5,612","Loudoun County, Virginia!!Estimate","2,166"
"    $200,000 to $299,999","16,502","Loudoun County, Virginia!!Estimate","10,526"
"    $300,000 to $499,999","70,855","Loudoun County, Virginia!!Estimate","30,871"
"    $500,000 to $999,999","161,903","Loudoun County, Virginia!!Estimate","30,258"
"    $1,000,000 or more","67,044","Loudoun County, Virginia!!Estimate","2,733"
    Median (dollars),"639,400","Loudoun County, Virginia!!Estimate","447,100"
MORTGAGE STATUS,,"Loudoun County, Virginia!!Estimate",
    Owner-occupied units,"342,955","Loudoun County, Virginia!!Estimate","80,627"
    Housing units with a mortgage,"256,276","Loudoun County, Virginia!!Estimate","72,843"
    Housing units without a mortgage,"86,679","Loudoun County, Virginia!!Estimate","7,784"
SELECTED MONTHLY OWNER COSTS (SMOC),,"Loudoun County, Virginia!!Estimate",
    Housing units with a mortgage,"256,276","Loudoun County, Virginia!!Estimate","72,843"
    Less than $300,441,"Loudoun County, Virginia!!Estimate",0
    $300 to $499,"1,586","Loudoun County, Virginia!!Estimate",408
    $500 to $699,"2,152","Loudoun County, Virginia!!Estimate",239
    $700 to $999,"4,788","Loudoun County, Virginia!!Estimate","1,606"
"    $1,000 to $1,499","16,484","Loudoun County, Virginia!!Estimate","4,702"
"    $1,500 to $1,999","28,710","Loudoun County, Virginia!!Estimate","7,782"
"    $2,000 or more","202,115","Loudoun County, Virginia!!Estimate","58,106"
    Median (dollars),"2,994","Loudoun County, Virginia!!Estimate","2,766"
    Housing units without a mortgage,"86,679","Loudoun County, Virginia!!Estimate","7,784"
    Less than $100,"1,051","Loudoun County, Virginia!!Estimate",61
    $100 to $199,"3,040","Loudoun County, Virginia!!Estimate",95
    $200 to $299,"8,855","Loudoun County, Virginia!!Estimate",357
    $300 to $399,"14,202","Loudoun County, Virginia!!Estimate",331
    $400 or more,"59,531","Loudoun County, Virginia!!Estimate","6,940"
    Median (dollars),539,"Loudoun County, Virginia!!Estimate",761
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,"Loudoun County, Virginia!!Estimate",
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","Loudoun County, Virginia!!Estimate","72,843"
    Less than 20.0 percent,"61,314","Loudoun County, Virginia!!Estimate","21,660"
    20.0 to 24.9 percent,"37,831","Loudoun County, Virginia!!Estimate","13,947"
    25.0 to 29.9 percent,"31,228","Loudoun County, Virginia!!Estimate","11,662"
    30.0 to 34.9 percent,"27,748","Loudoun County, Virginia!!Estimate","8,127"
    35.0 percent or more,"97,215","Loudoun County, Virginia!!Estimate","17,447"
    Not computed,940,"Loudoun County, Virginia!!Estimate",0
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","Loudoun County, Virginia!!Estimate","7,734"
    Less than 10.0 percent,"43,387","Loudoun County, Virginia!!Estimate","3,922"
    10.0 to 14.9 percent,"14,242","Loudoun County, Virginia!!Estimate","1,636"
    15.0 to 19.9 percent,"8,796","Loudoun County, Virginia!!Estimate",513
    20.0 to 24.9 percent,"5,781","Loudoun County, Virginia!!Estimate",342
    25.0 to 29.9 percent,"2,687","Loudoun County, Virginia!!Estimate",115
    30.0 to 34.9 percent,"2,337","Loudoun County, Virginia!!Estimate",111
    35.0 percent or more,"7,889","Loudoun County, Virginia!!Estimate","1,095"
    Not computed,"1,560","Loudoun County, Virginia!!Estimate",50
GROSS RENT,,"Loudoun County, Virginia!!Estimate",
    Occupied units paying rent,"250,980","Loudoun County, Virginia!!Estimate",N
    Less than $200,"1,021","Loudoun County, Virginia!!Estimate",N
    $200 to $299,"5,127","Loudoun County, Virginia!!Estimate",N
    $300 to $499,"5,300","Loudoun County, Virginia!!Estimate",N
    $500 to $749,"13,324","Loudoun County, Virginia!!Estimate",N
    $750 to $999,"26,134","Loudoun County, Virginia!!Estimate",N
"    $1,000 to $1,499","90,157","Loudoun County, Virginia!!Estimate",N
"    $1,500 or more","109,917","Loudoun County, Virginia!!Estimate",N
    Median (dollars),"1,418","Loudoun County, Virginia!!Estimate","1,574"
    No rent paid,"5,300","Loudoun County, Virginia!!Estimate",N
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,"Loudoun County, Virginia!!Estimate",
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","Loudoun County, Virginia!!Estimate","21,113"
    Less than 15.0 percent,"36,283","Loudoun County, Virginia!!Estimate","2,531"
    15.0 to 19.9 percent,"35,384","Loudoun County, Virginia!!Estimate","2,879"
    20.0 to 24.9 percent,"29,917","Loudoun County, Virginia!!Estimate","3,121"
    25.0 to 29.9 percent,"27,507","Loudoun County, Virginia!!Estimate","3,144"
    30.0 to 34.9 percent,"23,888","Loudoun County, Virginia!!Estimate","2,406"
    35.0 percent or more,"93,855","Loudoun County, Virginia!!Estimate","7,032"
    Not computed,"9,446","Loudoun County, Virginia!!Estimate","1,239"
HOUSING OCCUPANCY,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Total housing units,"631,955","Loudoun County, Virginia!!Estimate Margin of Error",±750
    Occupied housing units,"599,235","Loudoun County, Virginia!!Estimate Margin of Error","±2,217"
    Vacant housing units,"32,720","Loudoun County, Virginia!!Estimate Margin of Error","±2,031"
    Homeowner vacancy rate,1.8,"Loudoun County, Virginia!!Estimate Margin of Error",±0.9
    Rental vacancy rate,4.1,"Loudoun County, Virginia!!Estimate Margin of Error",±2.1
UNITS IN STRUCTURE,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Total housing units,"631,955","Loudoun County, Virginia!!Estimate Margin of Error",±750
"    1-unit, detached","332,653","Loudoun County, Virginia!!Estimate Margin of Error","±2,491"
"    1-unit, attached","68,576","Loudoun County, Virginia!!Estimate Margin of Error","±2,309"
    2 units,"14,314","Loudoun County, Virginia!!Estimate Margin of Error",±379
    3 or 4 units,"38,225","Loudoun County, Virginia!!Estimate Margin of Error",±756
    5 to 9 units,"35,293","Loudoun County, Virginia!!Estimate Margin of Error",±927
    10 to 19 units,"31,079","Loudoun County, Virginia!!Estimate Margin of Error","±1,453"
    20 or more units,"92,993","Loudoun County, Virginia!!Estimate Margin of Error","±1,088"
    Mobile home,"18,161","Loudoun County, Virginia!!Estimate Margin of Error",±553
"    Boat, RV, van, etc.",661,"Loudoun County, Virginia!!Estimate Margin of Error",±129
YEAR STRUCTURE BUILT,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Total housing units,"631,955","Loudoun County, Virginia!!Estimate Margin of Error",±750
    Built 2005 or later,"27,044","Loudoun County, Virginia!!Estimate Margin of Error","±1,908"
    Built 2000 to 2004,"37,364","Loudoun County, Virginia!!Estimate Margin of Error","±2,278"
    Built 1990 to 1999,"66,881","Loudoun County, Virginia!!Estimate Margin of Error","±2,323"
    Built 1980 to 1989,"75,301","Loudoun County, Virginia!!Estimate Margin of Error","±1,717"
    Built 1970 to 1979,"142,515","Loudoun County, Virginia!!Estimate Margin of Error","±1,527"
    Built 1960 to 1969,"125,418","Loudoun County, Virginia!!Estimate Margin of Error","±1,064"
    Built 1950 to 1959,"97,176","Loudoun County, Virginia!!Estimate Margin of Error",±636
    Built 1940 to 1949,"26,180","Loudoun County, Virginia!!Estimate Margin of Error",±614
    Built 1939 or earlier,"34,076","Loudoun County, Virginia!!Estimate Margin of Error",±940
ROOMS,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Total housing units,"631,955","Loudoun County, Virginia!!Estimate Margin of Error",±750
    1 room,"18,306","Loudoun County, Virginia!!Estimate Margin of Error",±367
    2 rooms,"25,842","Loudoun County, Virginia!!Estimate Margin of Error",±911
    3 rooms,"77,744","Loudoun County, Virginia!!Estimate Margin of Error","±1,454"
    4 rooms,"122,207","Loudoun County, Virginia!!Estimate Margin of Error","±1,521"
    5 rooms,"113,419","Loudoun County, Virginia!!Estimate Margin of Error","±1,679"
    6 rooms,"108,419","Loudoun County, Virginia!!Estimate Margin of Error","±1,801"
    7 rooms,"77,656","Loudoun County, Virginia!!Estimate Margin of Error","±2,063"
    8 rooms,"46,464","Loudoun County, Virginia!!Estimate Margin of Error","±1,745"
    9 rooms or more,"41,898","Loudoun County, Virginia!!Estimate Margin of Error","±1,960"
    Median rooms,5.1,"Loudoun County, Virginia!!Estimate Margin of Error",±0.2
BEDROOMS,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Total housing units,"631,955","Loudoun County, Virginia!!Estimate Margin of Error",±750
    No bedroom,"19,944","Loudoun County, Virginia!!Estimate Margin of Error",±367
    1 bedroom,"89,100","Loudoun County, Virginia!!Estimate Margin of Error","±1,289"
    2 bedrooms,"162,836","Loudoun County, Virginia!!Estimate Margin of Error","±2,004"
    3 bedrooms,"202,224","Loudoun County, Virginia!!Estimate Margin of Error","±2,360"
    4 bedrooms,"122,330","Loudoun County, Virginia!!Estimate Margin of Error","±2,607"
    5 or more bedrooms,"35,521","Loudoun County, Virginia!!Estimate Margin of Error","±1,607"
HOUSING TENURE,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Estimate Margin of Error","±2,217"
    Owner-occupied,"342,955","Loudoun County, Virginia!!Estimate Margin of Error","±2,460"
    Renter-occupied,"256,280","Loudoun County, Virginia!!Estimate Margin of Error","±2,125"
    Average household size of owner-occupied unit,3.01,"Loudoun County, Virginia!!Estimate Margin of Error",±0.07
    Average household size of renter-occupied unit,2.86,"Loudoun County, Virginia!!Estimate Margin of Error",±0.16
YEAR HOUSEHOLDER MOVED INTO UNIT,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Estimate Margin of Error","±2,217"
    Moved in 2005 or later,"282,245","Loudoun County, Virginia!!Estimate Margin of Error","±2,733"
    Moved in 2000 to 2004,"101,772","Loudoun County, Virginia!!Estimate Margin of Error","±2,015"
    Moved in 1990 to 1999,"101,476","Loudoun County, Virginia!!Estimate Margin of Error","±1,583"
    Moved in 1980 to 1989,"50,775","Loudoun County, Virginia!!Estimate Margin of Error",±987
    Moved in 1970 to 1979,"35,403","Loudoun County, Virginia!!Estimate Margin of Error",±547
    Moved in 1969 or earlier,"27,564","Loudoun County, Virginia!!Estimate Margin of Error",±323
VEHICLES AVAILABLE,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Estimate Margin of Error","±2,217"
    No vehicles available,"31,267","Loudoun County, Virginia!!Estimate Margin of Error",±915
    1 vehicle available,"168,953","Loudoun County, Virginia!!Estimate Margin of Error","±2,476"
    2 vehicles available,"249,590","Loudoun County, Virginia!!Estimate Margin of Error","±2,257"
    3 or more vehicles available,"149,425","Loudoun County, Virginia!!Estimate Margin of Error","±2,121"
HOUSE HEATING FUEL,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Estimate Margin of Error","±2,217"
    Utility gas,"401,603","Loudoun County, Virginia!!Estimate Margin of Error","±2,565"
"    Bottled, tank, or LP gas","8,862","Loudoun County, Virginia!!Estimate Margin of Error","±1,152"
    Electricity,"178,541","Loudoun County, Virginia!!Estimate Margin of Error","±2,317"
"    Fuel oil, kerosene, etc.",462,"Loudoun County, Virginia!!Estimate Margin of Error",±965
    Coal or coke,0,"Loudoun County, Virginia!!Estimate Margin of Error",±287
    Wood,"1,887","Loudoun County, Virginia!!Estimate Margin of Error",±510
    Solar energy,850,"Loudoun County, Virginia!!Estimate Margin of Error",±102
    Other fuel,"1,238","Loudoun County, Virginia!!Estimate Margin of Error",±211
    No fuel used,"5,792","Loudoun County, Virginia!!Estimate Margin of Error",±208
SELECTED CHARACTERISTICS,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Estimate Margin of Error","±2,217"
    Lacking complete plumbing facilities,"3,645","Loudoun County, Virginia!!Estimate Margin of Error",±447
    Lacking complete kitchen facilities,"6,765","Loudoun County, Virginia!!Estimate Margin of Error",±477
    No telephone service available,"10,027","Loudoun County, Virginia!!Estimate Margin of Error",±496
OCCUPANTS PER ROOM,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Estimate Margin of Error","±2,217"
    1.00 or less,"551,916","Loudoun County, Virginia!!Estimate Margin of Error","±2,359"
    1.01 to 1.50,"32,292","Loudoun County, Virginia!!Estimate Margin of Error",±631
    1.51 or more,"15,027","Loudoun County, Virginia!!Estimate Margin of Error",±197
VALUE,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Owner-occupied units,"342,955","Loudoun County, Virginia!!Estimate Margin of Error","±2,460"
"    Less than $50,000","7,522","Loudoun County, Virginia!!Estimate Margin of Error",±568
"    $50,000 to $99,999","9,155","Loudoun County, Virginia!!Estimate Margin of Error",±544
"    $100,000 to $149,999","4,362","Loudoun County, Virginia!!Estimate Margin of Error",±623
"    $150,000 to $199,999","5,612","Loudoun County, Virginia!!Estimate Margin of Error",±722
"    $200,000 to $299,999","16,502","Loudoun County, Virginia!!Estimate Margin of Error","±1,535"
"    $300,000 to $499,999","70,855","Loudoun County, Virginia!!Estimate Margin of Error","±2,354"
"    $500,000 to $999,999","161,903","Loudoun County, Virginia!!Estimate Margin of Error","±2,051"
"    $1,000,000 or more","67,044","Loudoun County, Virginia!!Estimate Margin of Error",±885
    Median (dollars),"639,400","Loudoun County, Virginia!!Estimate Margin of Error","±12,816"
MORTGAGE STATUS,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Owner-occupied units,"342,955","Loudoun County, Virginia!!Estimate Margin of Error","±2,460"
    Housing units with a mortgage,"256,276","Loudoun County, Virginia!!Estimate Margin of Error","±2,442"
    Housing units without a mortgage,"86,679","Loudoun County, Virginia!!Estimate Margin of Error","±1,104"
SELECTED MONTHLY OWNER COSTS (SMOC),,"Loudoun County, Virginia!!Estimate Margin of Error",
    Housing units with a mortgage,"256,276","Loudoun County, Virginia!!Estimate Margin of Error","±2,442"
    Less than $300,441,"Loudoun County, Virginia!!Estimate Margin of Error",±287
    $300 to $499,"1,586","Loudoun County, Virginia!!Estimate Margin of Error",±416
    $500 to $699,"2,152","Loudoun County, Virginia!!Estimate Margin of Error",±169
    $700 to $999,"4,788","Loudoun County, Virginia!!Estimate Margin of Error",±687
"    $1,000 to $1,499","16,484","Loudoun County, Virginia!!Estimate Margin of Error",±990
"    $1,500 to $1,999","28,710","Loudoun County, Virginia!!Estimate Margin of Error","±1,346"
"    $2,000 or more","202,115","Loudoun County, Virginia!!Estimate Margin of Error","±2,789"
    Median (dollars),"2,994","Loudoun County, Virginia!!Estimate Margin of Error",±64
    Housing units without a mortgage,"86,679","Loudoun County, Virginia!!Estimate Margin of Error","±1,104"
    Less than $100,"1,051","Loudoun County, Virginia!!Estimate Margin of Error",±103
    $100 to $199,"3,040","Loudoun County, Virginia!!Estimate Margin of Error",±134
    $200 to $299,"8,855","Loudoun County, Virginia!!Estimate Margin of Error",±288
    $300 to $399,"14,202","Loudoun County, Virginia!!Estimate Margin of Error",±229
    $400 or more,"59,531","Loudoun County, Virginia!!Estimate Margin of Error","±1,037"
    Median (dollars),539,"Loudoun County, Virginia!!Estimate Margin of Error",±59
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,"Loudoun County, Virginia!!Estimate Margin of Error",
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","Loudoun County, Virginia!!Estimate Margin of Error","±2,442"
    Less than 20.0 percent,"61,314","Loudoun County, Virginia!!Estimate Margin of Error","±1,531"
    20.0 to 24.9 percent,"37,831","Loudoun County, Virginia!!Estimate Margin of Error","±1,840"
    25.0 to 29.9 percent,"31,228","Loudoun County, Virginia!!Estimate Margin of Error","±1,414"
    30.0 to 34.9 percent,"27,748","Loudoun County, Virginia!!Estimate Margin of Error","±1,511"
    35.0 percent or more,"97,215","Loudoun County, Virginia!!Estimate Margin of Error","±1,854"
    Not computed,940,"Loudoun County, Virginia!!Estimate Margin of Error",±287
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","Loudoun County, Virginia!!Estimate Margin of Error","±1,109"
    Less than 10.0 percent,"43,387","Loudoun County, Virginia!!Estimate Margin of Error",±896
    10.0 to 14.9 percent,"14,242","Loudoun County, Virginia!!Estimate Margin of Error",±557
    15.0 to 19.9 percent,"8,796","Loudoun County, Virginia!!Estimate Margin of Error",±349
    20.0 to 24.9 percent,"5,781","Loudoun County, Virginia!!Estimate Margin of Error",±231
    25.0 to 29.9 percent,"2,687","Loudoun County, Virginia!!Estimate Margin of Error",±152
    30.0 to 34.9 percent,"2,337","Loudoun County, Virginia!!Estimate Margin of Error",±133
    35.0 percent or more,"7,889","Loudoun County, Virginia!!Estimate Margin of Error",±433
    Not computed,"1,560","Loudoun County, Virginia!!Estimate Margin of Error",±84
GROSS RENT,,"Loudoun County, Virginia!!Estimate Margin of Error",
    Occupied units paying rent,"250,980","Loudoun County, Virginia!!Estimate Margin of Error",N
    Less than $200,"1,021","Loudoun County, Virginia!!Estimate Margin of Error",N
    $200 to $299,"5,127","Loudoun County, Virginia!!Estimate Margin of Error",N
    $300 to $499,"5,300","Loudoun County, Virginia!!Estimate Margin of Error",N
    $500 to $749,"13,324","Loudoun County, Virginia!!Estimate Margin of Error",N
    $750 to $999,"26,134","Loudoun County, Virginia!!Estimate Margin of Error",N
"    $1,000 to $1,499","90,157","Loudoun County, Virginia!!Estimate Margin of Error",N
"    $1,500 or more","109,917","Loudoun County, Virginia!!Estimate Margin of Error",N
    Median (dollars),"1,418","Loudoun County, Virginia!!Estimate Margin of Error",±100
    No rent paid,"5,300","Loudoun County, Virginia!!Estimate Margin of Error",N
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,"Loudoun County, Virginia!!Estimate Margin of Error",
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","Loudoun County, Virginia!!Estimate Margin of Error","±1,953"
    Less than 15.0 percent,"36,283","Loudoun County, Virginia!!Estimate Margin of Error","±1,038"
    15.0 to 19.9 percent,"35,384","Loudoun County, Virginia!!Estimate Margin of Error",±912
    20.0 to 24.9 percent,"29,917","Loudoun County, Virginia!!Estimate Margin of Error","±1,085"
    25.0 to 29.9 percent,"27,507","Loudoun County, Virginia!!Estimate Margin of Error","±1,011"
    30.0 to 34.9 percent,"23,888","Loudoun County, Virginia!!Estimate Margin of Error",±850
    35.0 percent or more,"93,855","Loudoun County, Virginia!!Estimate Margin of Error","±1,224"
    Not computed,"9,446","Loudoun County, Virginia!!Estimate Margin of Error",±645
HOUSING OCCUPANCY,,"Loudoun County, Virginia!!Percent",
    Total housing units,"631,955","Loudoun County, Virginia!!Percent","109,955"
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent",93.7%
    Vacant housing units,"32,720","Loudoun County, Virginia!!Percent",6.3%
    Homeowner vacancy rate,1.8,"Loudoun County, Virginia!!Percent",(X)
    Rental vacancy rate,4.1,"Loudoun County, Virginia!!Percent",(X)
UNITS IN STRUCTURE,,"Loudoun County, Virginia!!Percent",
    Total housing units,"631,955","Loudoun County, Virginia!!Percent","109,955"
"    1-unit, detached","332,653","Loudoun County, Virginia!!Percent",56.5%
"    1-unit, attached","68,576","Loudoun County, Virginia!!Percent",26.3%
    2 units,"14,314","Loudoun County, Virginia!!Percent",0.4%
    3 or 4 units,"38,225","Loudoun County, Virginia!!Percent",1.2%
    5 to 9 units,"35,293","Loudoun County, Virginia!!Percent",3.2%
    10 to 19 units,"31,079","Loudoun County, Virginia!!Percent",6.7%
    20 or more units,"92,993","Loudoun County, Virginia!!Percent",5.1%
    Mobile home,"18,161","Loudoun County, Virginia!!Percent",0.6%
"    Boat, RV, van, etc.",661,"Loudoun County, Virginia!!Percent",0.1%
YEAR STRUCTURE BUILT,,"Loudoun County, Virginia!!Percent",
    Total housing units,"631,955","Loudoun County, Virginia!!Percent","109,955"
    Built 2005 or later,"27,044","Loudoun County, Virginia!!Percent",15.5%
    Built 2000 to 2004,"37,364","Loudoun County, Virginia!!Percent",25.5%
    Built 1990 to 1999,"66,881","Loudoun County, Virginia!!Percent",26.9%
    Built 1980 to 1989,"75,301","Loudoun County, Virginia!!Percent",11.9%
    Built 1970 to 1979,"142,515","Loudoun County, Virginia!!Percent",9.0%
    Built 1960 to 1969,"125,418","Loudoun County, Virginia!!Percent",4.5%
    Built 1950 to 1959,"97,176","Loudoun County, Virginia!!Percent",1.6%
    Built 1940 to 1949,"26,180","Loudoun County, Virginia!!Percent",1.2%
    Built 1939 or earlier,"34,076","Loudoun County, Virginia!!Percent",3.9%
ROOMS,,"Loudoun County, Virginia!!Percent",
    Total housing units,"631,955","Loudoun County, Virginia!!Percent","109,955"
    1 room,"18,306","Loudoun County, Virginia!!Percent",0.5%
    2 rooms,"25,842","Loudoun County, Virginia!!Percent",2.0%
    3 rooms,"77,744","Loudoun County, Virginia!!Percent",5.5%
    4 rooms,"122,207","Loudoun County, Virginia!!Percent",8.0%
    5 rooms,"113,419","Loudoun County, Virginia!!Percent",10.0%
    6 rooms,"108,419","Loudoun County, Virginia!!Percent",13.2%
    7 rooms,"77,656","Loudoun County, Virginia!!Percent",12.8%
    8 rooms,"46,464","Loudoun County, Virginia!!Percent",12.4%
    9 rooms or more,"41,898","Loudoun County, Virginia!!Percent",35.5%
    Median rooms,5.1,"Loudoun County, Virginia!!Percent",(X)
BEDROOMS,,"Loudoun County, Virginia!!Percent",
    Total housing units,"631,955","Loudoun County, Virginia!!Percent","109,955"
    No bedroom,"19,944","Loudoun County, Virginia!!Percent",0.5%
    1 bedroom,"89,100","Loudoun County, Virginia!!Percent",5.7%
    2 bedrooms,"162,836","Loudoun County, Virginia!!Percent",14.6%
    3 bedrooms,"202,224","Loudoun County, Virginia!!Percent",32.5%
    4 bedrooms,"122,330","Loudoun County, Virginia!!Percent",33.5%
    5 or more bedrooms,"35,521","Loudoun County, Virginia!!Percent",13.3%
HOUSING TENURE,,"Loudoun County, Virginia!!Percent",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent","102,979"
    Owner-occupied,"342,955","Loudoun County, Virginia!!Percent",78.3%
    Renter-occupied,"256,280","Loudoun County, Virginia!!Percent",21.7%
    Average household size of owner-occupied unit,3.01,"Loudoun County, Virginia!!Percent",(X)
    Average household size of renter-occupied unit,2.86,"Loudoun County, Virginia!!Percent",(X)
YEAR HOUSEHOLDER MOVED INTO UNIT,,"Loudoun County, Virginia!!Percent",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent","102,979"
    Moved in 2005 or later,"282,245","Loudoun County, Virginia!!Percent",56.2%
    Moved in 2000 to 2004,"101,772","Loudoun County, Virginia!!Percent",22.3%
    Moved in 1990 to 1999,"101,476","Loudoun County, Virginia!!Percent",15.2%
    Moved in 1980 to 1989,"50,775","Loudoun County, Virginia!!Percent",4.2%
    Moved in 1970 to 1979,"35,403","Loudoun County, Virginia!!Percent",1.5%
    Moved in 1969 or earlier,"27,564","Loudoun County, Virginia!!Percent",0.7%
VEHICLES AVAILABLE,,"Loudoun County, Virginia!!Percent",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent","102,979"
    No vehicles available,"31,267","Loudoun County, Virginia!!Percent",2.9%
    1 vehicle available,"168,953","Loudoun County, Virginia!!Percent",21.1%
    2 vehicles available,"249,590","Loudoun County, Virginia!!Percent",49.1%
    3 or more vehicles available,"149,425","Loudoun County, Virginia!!Percent",26.9%
HOUSE HEATING FUEL,,"Loudoun County, Virginia!!Percent",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent","102,979"
    Utility gas,"401,603","Loudoun County, Virginia!!Percent",61.2%
"    Bottled, tank, or LP gas","8,862","Loudoun County, Virginia!!Percent",5.6%
    Electricity,"178,541","Loudoun County, Virginia!!Percent",27.9%
"    Fuel oil, kerosene, etc.",462,"Loudoun County, Virginia!!Percent",3.7%
    Coal or coke,0,"Loudoun County, Virginia!!Percent",0.0%
    Wood,"1,887","Loudoun County, Virginia!!Percent",1.0%
    Solar energy,850,"Loudoun County, Virginia!!Percent",0.1%
    Other fuel,"1,238","Loudoun County, Virginia!!Percent",0.2%
    No fuel used,"5,792","Loudoun County, Virginia!!Percent",0.2%
SELECTED CHARACTERISTICS,,"Loudoun County, Virginia!!Percent",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent","102,979"
    Lacking complete plumbing facilities,"3,645","Loudoun County, Virginia!!Percent",0.5%
    Lacking complete kitchen facilities,"6,765","Loudoun County, Virginia!!Percent",0.7%
    No telephone service available,"10,027","Loudoun County, Virginia!!Percent",0.9%
OCCUPANTS PER ROOM,,"Loudoun County, Virginia!!Percent",
    Occupied housing units,"599,235","Loudoun County, Virginia!!Percent","102,979"
    1.00 or less,"551,916","Loudoun County, Virginia!!Percent",98.6%
    1.01 to 1.50,"32,292","Loudoun County, Virginia!!Percent",1.2%
    1.51 or more,"15,027","Loudoun County, Virginia!!Percent",0.2%
